ASB ID,Control Domain,CIS Controls v7.1 ID(s),CIS Controls v8 ID(s),NIST SP800-53 r4 ID(s),PCI-DSS v3.2.1 ID(s),Recommendation,Addressed with custom ESLZ policies?,Addressed with assigned built-in policies in ESLZ?
NS-1,Network Security,"9.2 - Ensure Only Approved Ports, Protocols and Services Are Running
9.4 - Apply Host-Based Firewalls or Port Filtering
12.3 - Deny Communications with Known Malicious IP Addresses
12.4 - Deny Communication over Unauthorized Ports
14.1 - Segment the Network Based on Sensitivity
14.2 - Enable Firewall Filtering Between VLANs
","3.12 - Segment Data Processing and Storage Based on Sensitivity
13.4 - Perform Traffic Filtering Between Network Segments
4.4 - Implement and Manage a Firewall on Severs","AC-4: INFORMATION FLOW ENFORCEMENT
SC-2: APPLICATION PARTITIONING
SC-7: BOUNDARY PROTECTION","1.1
1.2
1.3",Establish network segmentation boundaries ,Yes,n/a
NS-2,Network Security,14.1 - Segment the Network Based on Sensitivity,"3.12 - Segment Data Processing and Storage Based on Sensitivity
4.4 - Implement and Manage a Firewall on Servers
","AC-4: INFORMATION FLOW ENFORCEMENT
SC-2: APPLICATION PARTITIONING
SC-7: BOUNDARY PROTECTION","1.1
1.2
1.3
",Secure cloud services with network controls,Yes,Yes
NS-3,Network Security,"9.2 - Ensure Only Approved Ports, Protocols and Services Are Running
9.4 - Apply Host-Based Firewalls or Port Filtering
12.3 - Deny Communications with Known Malicious IP Addresses
12.4 - Deny Communication over Unauthorized Ports
14.1 - Segment the Network Based on Sensitivity
14.2 - Enable Firewall Filtering Between VLANs

","4.4 - Implement and Manage a Firewall on Servers
4.8 - Uninstall or Disable Unnecessary Services on Enterprise Assets and Software
13.10 Perform Application Layer Filtering","AC-4: INFORMATION FLOW ENFORCEMENT
SC-7: BOUNDARY PROTECTION
CM-7: LEAST FUNCTIONALITY","1.1
1.2
1.3",Deploy firewall at the edge of enterprise network,Yes,n/a
NS-4,Network Security,"12.6 - Deploy Network-Based IDS Sensors
12.7 - Deploy Network-Based Intrusion Prevention Systems","13.2 Deploy a Host-Based Intrusion Detection Solution
13.3 - Deploy a Network Intrusion Detection Solution
13.7 Deploy a Host-Based Intrusion Prevention Solution
13.8 - Deploy a Network Intrusion Prevention Solution
","SC-7: BOUNDARY PROTECTION
SI-4: INFORMATION SYSTEM MONITORING","11.4

",Deploy intrusion detection/intrusion prevention systems (IDS/IPS),Yes,Yes
NS-5,Network Security,"9.5 - Implement Application Firewalls
12.3 - Deny Communications with Known Malicious IP Addresses

",13.10 - Perform Application Layer Filtering,"SC-5: DENIAL OF SERVICE PROTECTION
SC-7: BOUNDARY PROTECTION","1.1
1.2
1.3
6.6",Deploy DDOS protection,Yes,n/a
NS-6,Network Security,"9.5 - Implement Application Firewalls
12.3 - Deny Communications with Known Malicious IP Addresses
12.9 - Deploy Application Layer Filtering Proxy Server
18.10 - Deploy Web Application Firewalls (WAFs)

",13.10 - Perform Application Layer Filtering,SC-7: BOUNDARY PROTECTION,"1.1
1.2
1.3
6.6",Deploy web application firewall,n/a,n/a
NS-7,Network Security,"9.2 - Ensure Only Approved Ports, Protocols and Services Are Running





","4.4 - Implement and Manage a Firewall on Severs
4.8 - Uninstall or Disable Unnecessary Services on Enterprise Assets and Software
","AC-4: INFORMATION FLOW ENFORCEMENT
SC-2: APPLICATION PARTITIONING
SC-7: BOUNDARY PROTECTION","1.1
1.2
1.3
",Simplify network security configuration,Yes,Yes
NS-8,Network Security,"9.2 - Ensure Only Approved Ports, Protocols and Services Are Running





","4.4 - Implement and Manage a Firewall on Severs
4.8 - Uninstall or Disable Unnecessary Services on Enterprise Assets and Software
","CM-2: BASELINE CONFIGURATION
CM-6: CONFIGURATION SETTINGS
CM-7: LEAST FUNCTIONALITY","4.1
A2.1
A2.2
A2.3

",Detect and disable insecure services and  protocols,n/a,n/a
NS-9,Network Security,N/A,"12.7 - Ensure Remote Devices Utilize a VPN and are Connecting to 
an Enterprise’s AAA Infrastructure","CA-3: SYSTEM INTERCONNECTIONS
AC-17: REMOTE ACCESS
AC-4: INFORMATION FLOW ENFORCEMENT
",N/A,"Connect on-premises or cloud network privately 
",n/a,n/a
NS-10,Network Security,7.7 - Use of DNS Filtering Services,"4.9 - Configure Trusted DNS Servers on Enterprise Assets
9.2 - Use DNS Filtering Services","SC-20: SECURE NAME / ADDRESS RESOLUTION SERVICE (AUTHORITATIVE SOURCE)
SC-21: SECURE NAME / ADDRESS RESOLUTION SERVICE (RECURSIVE OR CACHING RESOLVER)",N/A,Ensure Domain Name System (DNS) security,Yes,Yes
DP-1,Data Protection,"13.1 - 	Maintain an Inventory of Sensitive Information
14.5 - Utilize an Active Discovery Tool to Identify Sensitive Data","3.2 - Establish and Maintain a Data Inventory
3.7 - Establish and Maintain a Data Classification Scheme
3.13 - Deploy a Data Loss Prevention Solution","RA-2: SECURITY CATEGORIZATION
SC-28: PROTECTION OF INFORMATION AT REST",A3.2,"Discover, classify, and label sensitive data

",n/a,n/a
DP-2,Data Protection,"13.3 - Monitor and Block Unauthorized Network Traffic
14.7 - Enforce Access Control to Data through Automated Tools",3.13 - Deploy a Data Loss Prevention Solution,"AC-4: INFORMATION FLOW ENFORCEMENT
SI-4: INFORMATION SYSTEM MONITORING",A3.2,Monitor anomalies and threats targeting sensitive data,Yes,Yes
DP-3,Data Protection,14.4 - Encrypt All Sensitive Information in Transit,3.10 - Encrypt Sensitive Data In Transit,SC-8: TRANSMISSION CONFIDENTIALITY AND INTEGRITY,"3.5
3.6
4.1",Encrypt sensitive data in transit,Yes,Yes
DP-4,Data Protection,14.8 - Encrypt Sensitive Information at Rest,3.11 - Encrypt Sensitive Data at Rest,SC-28: PROTECTION OF INFORMATION AT REST,"3.4
3.5",Enable data at rest encryption by default  ,n/a,n/a
DP-5,Data Protection,14.8 - Encrypt Sensitive Information at Rest,3.11 - Encrypt Sensitive Data at Rest,"SC-12: CRYPTOGRAPHIC KEY ESTABLISHMENT AND MANAGEMENT
SC-28: PROTECTION OF INFORMATION AT REST","3.4
3.5
3.6",Use customer-managed key option in data at rest encryption when required,n/a,n/a
DP-6,Data Protection,N/A,N/A,"IA-5: AUTHENTICATOR MANAGEMENT
SC-12: CRYPTOGRAPHIC KEY ESTABLISHMENT AND MANAGEMENT
SC-28: PROTECTION OF INFORMATION AT REST",3.6,Use a secure key management process,n/a,n/a
DP-7,Data Protection,N/A,N/A,"IA-5: AUTHENTICATOR MANAGEMENT
SC-12: CRYPTOGRAPHIC KEY ESTABLISHMENT AND MANAGEMENT
SC-17: PUBLIC KEY INFRASTRUCTURE CERTIFICATES",3.6,Use a secure certificate management process,n/a,n/a
DP-8,Data Protection,N/A,N/A,"IA-5: AUTHENTICATOR MANAGEMENT
SC-12: CRYPTOGRAPHIC KEY ESTABLISHMENT AND MANAGEMENT
SC-17: PUBLIC KEY INFRASTRUCTURE CERTIFICATES",3.6,Ensure security of key and certificate repository ,Yes,Yes
IM-1,Identity Management,"16.1 - Maintain an Inventory of 
Authentication Systems
16.2 - Configure Centralized 
Point of Authentication","6.7 - Centralize Access Control
12.5 - Centralize Network Authentication, Authorization, and Auditing (AAA)
","AC-2: ACCOUNT MANAGEMENT
AC-3: ACCESS ENFORCEMENT
IA-2: IDENTIFICATION AND AUTHENTICATION (ORGANIZATIONAL USERS)
IA-8: IDENTIFICATION AND AUTHENTICATION (NON-ORGANIZATIONAL USERS)","7.2
8.3",Use centralized identity and authentication system,n/a,n/a
IM-2,Identity Management,"4.3 - Ensure the Use of Dedicated Administrative Accounts
4.5 - Use Multi-Factor Authentication for All Administrative Access","5.4 - Restrict Administrator Privileges to Dedicated Administrator Accounts
6.5 - Require MFA for Administrative Access
","AC-2: ACCOUNT MANAGEMENT
AC-3: ACCESS ENFORCEMENT
IA-2: IDENTIFICATION AND AUTHENTICATION (ORGANIZATIONAL USERS)
IA-8: IDENTIFICATION AND AUTHENTICATION (NON-ORGANIZATIONAL USERS)
SI-4: INFORMATION SYSTEM MONITORING","8.2
8.3
",Protect identity and authentication systems,n/a,n/a
IM-3,Identity Management,N/A,N/A,"AC-2: ACCOUNT MANAGEMENT
AC-3: ACCESS ENFORCEMENT
IA-4: IDENTIFIER MANAGEMENT
IA-5: AUTHENTICATOR MANAGEMENT
IA-9: SERVICE IDENTIFICATION AND AUTHENTICATION","N/A
",Manage application identities securely and automatically,n/a,n/a
IM-4,Identity Management,N/A,N/A,IA-9: SERVICE IDENTITIFICATION AND AUTHENTICATION,N/A,Authenticate server and services,n/a,n/a
IM-5,Identity Management,16.2 - Configure Centralized Point of Authentication,"12.5 - Centralize Network Authentication, Authorization, and Auditing (AAA)","IA-4: IDENTIFIER MANAGEMENT
IA-2: IDENTIFICATION AND AUTHENTICATION (ORGANIZATIONAL USERS)
IA-8: IDENTIFICATION AND AUTHENTICATION (NON-ORGANIZATIONAL USERS)",N/A,Use single sign-on (SSO) for application access,n/a,n/a
