Control Family,Control Title,ID,Ownership,Name,Description,Effect(s),Version,Azure Policy Guid
,,,,(Azure portal),,,(GitHub),
1 Identity and Access Management,Ensure that multi-factor authentication is enabled for all privileged users,CIS Microsoft Azure Foundations Benchmark recommendation 1.1,Shared,---,---,---,---,
1 Identity and Access Management,Ensure that multi-factor authentication is enabled for all privileged users,CIS Microsoft Azure Foundations Benchmark recommendation 1.1,Shared,Adopt biometric authentication mechanisms,CMA_0005 - Adopt biometric authentication mechanisms,"Manual, Disabled",1:00:00,7d7a8356-5c34-9a95-3118-1424cfaf192a)
1 Identity and Access Management,Ensure that multi-factor authentication is enabled for all privileged users,CIS Microsoft Azure Foundations Benchmark recommendation 1.1,Shared,MFA should be enabled accounts with write permissions on your subscription,Multi-Factor Authentication (MFA) should be enabled for all subscription accounts with write privileges to prevent a breach of accounts or resources.,"AuditIfNotExists, Disabled",3:00:00,9297c21d-2ed6-4474-b48f-163f75654ce3)
1 Identity and Access Management,Ensure that multi-factor authentication is enabled for all privileged users,CIS Microsoft Azure Foundations Benchmark recommendation 1.1,Shared,MFA should be enabled on accounts with owner permissions on your subscription,Multi-Factor Authentication (MFA) should be enabled for all subscription accounts with owner permissions to prevent a breach of accounts or resources.,"AuditIfNotExists, Disabled",3:00:00,aa633080-8b72-40c4-a2d7-d00c03e80bed)
1 Identity and Access Management,Ensure that 'Users can add gallery apps to their Access Panel' is set to 'No',CIS Microsoft Azure Foundations Benchmark recommendation 1.10,Shared,---,---,---,---,
1 Identity and Access Management,Ensure that 'Users can add gallery apps to their Access Panel' is set to 'No',CIS Microsoft Azure Foundations Benchmark recommendation 1.10,Shared,Authorize access to security functions and information,CMA_0022 - Authorize access to security functions and information,"Manual, Disabled",1:00:00,aeed863a-0f56-429f-945d-8bb66bd06841)
1 Identity and Access Management,Ensure that 'Users can add gallery apps to their Access Panel' is set to 'No',CIS Microsoft Azure Foundations Benchmark recommendation 1.10,Shared,Authorize and manage access,CMA_0023 - Authorize and manage access,"Manual, Disabled",1:00:00,50e9324a-7410-0539-0662-2c1e775538b7)
1 Identity and Access Management,Ensure that 'Users can add gallery apps to their Access Panel' is set to 'No',CIS Microsoft Azure Foundations Benchmark recommendation 1.10,Shared,Enforce mandatory and discretionary access control policies,CMA_0246 - Enforce mandatory and discretionary access control policies,"Manual, Disabled",1:00:00,b1666a13-8f67-9c47-155e-69e027ff6823)
1 Identity and Access Management,Ensure that 'Users can register applications' is set to 'No',CIS Microsoft Azure Foundations Benchmark recommendation 1.11,Shared,---,---,---,---,
1 Identity and Access Management,Ensure that 'Users can register applications' is set to 'No',CIS Microsoft Azure Foundations Benchmark recommendation 1.11,Shared,Authorize access to security functions and information,CMA_0022 - Authorize access to security functions and information,"Manual, Disabled",1:00:00,aeed863a-0f56-429f-945d-8bb66bd06841)
1 Identity and Access Management,Ensure that 'Users can register applications' is set to 'No',CIS Microsoft Azure Foundations Benchmark recommendation 1.11,Shared,Authorize and manage access,CMA_0023 - Authorize and manage access,"Manual, Disabled",1:00:00,50e9324a-7410-0539-0662-2c1e775538b7)
1 Identity and Access Management,Ensure that 'Users can register applications' is set to 'No',CIS Microsoft Azure Foundations Benchmark recommendation 1.11,Shared,Enforce mandatory and discretionary access control policies,CMA_0246 - Enforce mandatory and discretionary access control policies,"Manual, Disabled",1:00:00,b1666a13-8f67-9c47-155e-69e027ff6823)
1 Identity and Access Management,Ensure that 'Guest user permissions are limited' is set to 'Yes',CIS Microsoft Azure Foundations Benchmark recommendation 1.12,Shared,---,---,---,---,
1 Identity and Access Management,Ensure that 'Guest user permissions are limited' is set to 'Yes',CIS Microsoft Azure Foundations Benchmark recommendation 1.12,Shared,Authorize access to security functions and information,CMA_0022 - Authorize access to security functions and information,"Manual, Disabled",1:00:00,aeed863a-0f56-429f-945d-8bb66bd06841)
1 Identity and Access Management,Ensure that 'Guest user permissions are limited' is set to 'Yes',CIS Microsoft Azure Foundations Benchmark recommendation 1.12,Shared,Authorize and manage access,CMA_0023 - Authorize and manage access,"Manual, Disabled",1:00:00,50e9324a-7410-0539-0662-2c1e775538b7)
1 Identity and Access Management,Ensure that 'Guest user permissions are limited' is set to 'Yes',CIS Microsoft Azure Foundations Benchmark recommendation 1.12,Shared,Design an access control model,CMA_0129 - Design an access control model,"Manual, Disabled",1:00:00,03b6427e-6072-4226-4bd9-a410ab65317e)
1 Identity and Access Management,Ensure that 'Guest user permissions are limited' is set to 'Yes',CIS Microsoft Azure Foundations Benchmark recommendation 1.12,Shared,Employ least privilege access,CMA_0212 - Employ least privilege access,"Manual, Disabled",1:00:00,1bc7fd64-291f-028e-4ed6-6e07886e163f)
1 Identity and Access Management,Ensure that 'Guest user permissions are limited' is set to 'Yes',CIS Microsoft Azure Foundations Benchmark recommendation 1.12,Shared,Enforce logical access,CMA_0245 - Enforce logical access,"Manual, Disabled",1:00:00,10c4210b-3ec9-9603-050d-77e4d26c7ebb)
