Control Family,ID,Ownership,Name,Description,Effect(s),Version,Azure Policy Guid
,,,(Azure portal),,,(GitHub),
Policy and Procedures,NIST SP 800-53 Rev. 5 AC-1,Shared,---,---,---,---,
Policy and Procedures,NIST SP 800-53 Rev. 5 AC-1,Shared,Develop access control policies and procedures,CMA_0144 - Develop access control policies and procedures,"Manual, Disabled",1:00:00,59f7feff-02aa-6539-2cf7-bea75b762140)
Policy and Procedures,NIST SP 800-53 Rev. 5 AC-1,Shared,Enforce mandatory and discretionary access control policies,CMA_0246 - Enforce mandatory and discretionary access control policies,"Manual, Disabled",1:00:00,b1666a13-8f67-9c47-155e-69e027ff6823)
Policy and Procedures,NIST SP 800-53 Rev. 5 AC-1,Shared,Govern policies and procedures,CMA_0292 - Govern policies and procedures,"Manual, Disabled",1:00:00,1a2a03a4-9992-5788-5953-d8f6615306de)
Policy and Procedures,NIST SP 800-53 Rev. 5 AC-1,Shared,Review access control policies and procedures,CMA_0457 - Review access control policies and procedures,"Manual, Disabled",1:00:00,03d550b4-34ee-03f4-515f-f2e2faf7a413)
Account Management,NIST SP 800-53 Rev. 5 AC-2,Shared,---,---,---,---,
Account Management,NIST SP 800-53 Rev. 5 AC-2,Shared,A maximum of 3 owners should be designated for your subscription,It is recommended to designate up to 3 subscription owners in order to reduce the potential for breach by a compromised owner.,"AuditIfNotExists, Disabled",3:00:00,4f11b553-d42e-4e3a-89be-32ca364cad4c)
Account Management,NIST SP 800-53 Rev. 5 AC-2,Shared,An Azure Active Directory administrator should be provisioned for SQL servers,Audit provisioning of an Azure Active Directory administrator for your SQL server to enable Azure AD authentication. Azure AD authentication enables simplified permission management and centralized identity management of database users and other Microsoft services,"AuditIfNotExists, Disabled",1:00:00,1f314764-cb73-4fc9-b863-8eca98ac36e9)
Account Management,NIST SP 800-53 Rev. 5 AC-2,Shared,App Service apps should use managed identity,Use a managed identity for enhanced authentication security,"AuditIfNotExists, Disabled",3:00:00,2b9ad585-36bc-4615-b300-fd4435808332)
Account Management,NIST SP 800-53 Rev. 5 AC-2,Shared,Assign account managers,CMA_0015 - Assign account managers,"Manual, Disabled",1:00:00,4c6df5ff-4ef2-4f17-a516-0da9189c603b)
